Pclass,Age,Fare,FamilySize,IsAlone,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Survived
2,8,0,0,1,1,0,0,0,1,1,0,0,1
2,19,0,0,0,0,1,0,0,1,0,1,0,0
2,33,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,1,0,1,0,0,1,0,0,0
3,29.7,0,0,1,1,0,0,1,0,1,0,0,1
2,29,0,0,0,0,1,0,0,1,0,1,0,0
3,22,0,0,0,0,1,0,0,1,0,1,0,0
3,30,0,0,0,0,1,1,0,0,0,1,0,0
1,44,1,0,1,0,1,0,1,0,0,0,0,0
3,25,0,0,0,1,0,0,0,1,1,0,0,0
2,24,0,0,1,1,0,0,0,1,0,0,1,1
1,37,0,0,1,0,1,0,0,1,0,1,0,1
2,54,0,0,1,0,1,0,0,1,0,0,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,29,0,0,1,1,0,0,0,1,0,0,1,0
1,62,0,0,0,0,1,0,0,1,0,1,0,0
3,30,0,0,1,0,1,0,0,1,0,1,0,0
3,41,0,0,1,1,0,0,0,1,0,0,1,0
3,29,0,0,1,1,0,1,0,0,0,0,1,1
1,29.7,1,0,0,1,0,1,0,0,0,0,1,1
1,30,1,0,0,1,0,0,0,1,1,0,0,1
1,35,8,0,0,1,0,1,0,0,1,0,0,1
2,50,0,0,1,1,0,0,0,1,0,0,1,1
3,29.7,0,0,0,0,1,0,1,0,0,1,0,0
3,3,0,0,1,0,1,0,0,1,0,0,0,1
1,52,1,0,1,0,1,0,0,1,0,1,0,0
1,40,-1,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,1,0,0,1,0,1,0,0,0
2,36,0,0,0,0,1,0,0,1,0,1,0,0
3,16,0,0,1,0,1,0,0,1,0,1,0,0
3,25,0,0,1,0,1,0,0,1,0,1,0,1
1,58,2,0,1,1,0,0,0,1,0,0,1,1
1,35,2,0,0,1,0,0,0,1,1,0,0,1
1,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,25,-1,0,0,0,1,0,0,1,0,1,0,1
2,41,0,0,1,1,0,0,0,1,0,0,1,1
1,37,0,0,1,0,1,1,0,0,0,1,0,0
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
1,63,1,0,1,1,0,0,0,1,1,0,0,1
3,45,0,0,0,1,0,0,0,1,1,0,0,0
2,29.7,-1,0,0,0,1,0,0,1,0,1,0,0
3,7,0,0,1,0,1,0,1,0,0,0,0,0
3,35,0,0,1,1,0,0,0,1,0,0,1,1
3,65,0,0,0,0,1,0,1,0,0,1,0,0
3,28,0,0,0,0,1,0,0,1,0,1,0,0
3,16,0,0,0,0,1,0,0,1,0,1,0,0
3,19,0,0,0,0,1,0,0,1,0,1,0,1
1,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,33,0,0,0,0,1,1,0,0,0,1,0,0
3,30,0,0,0,0,1,0,0,1,0,1,0,1
3,22,0,0,0,0,1,0,0,1,0,1,0,0
2,42,0,0,0,0,1,0,0,1,0,1,0,1
3,22,0,0,0,1,0,0,1,0,1,0,0,1
1,26,1,0,0,1,0,0,0,1,1,0,0,1
1,19,1,0,1,1,0,1,0,0,0,0,1,1
2,36,0,0,0,0,1,1,0,0,0,1,0,0
3,24,0,0,0,1,0,0,0,1,1,0,0,0
3,24,0,0,0,0,1,0,0,1,0,1,0,0
1,29.7,0,0,0,0,1,1,0,0,0,1,0,0
3,23.5,0,0,0,0,1,1,0,0,0,1,0,0
1,2,2,0,1,1,0,0,0,1,1,0,0,0
1,29.7,0,0,0,0,1,0,0,1,0,1,0,1
1,50,4,0,1,1,0,1,0,0,0,0,1,1
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
3,29.7,0,0,1,0,1,0,1,0,0,1,0,1
3,19,-1,0,0,0,1,0,0,1,0,1,0,0
2,29.7,0,0,0,1,0,0,1,0,1,0,0,1
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
1,0.92,2,0,1,0,1,0,0,1,0,0,0,1
1,29.7,1,0,0,1,0,1,0,0,1,0,0,1
1,17,1,0,1,1,0,1,0,0,0,0,1,1
2,30,0,0,1,0,1,1,0,0,0,1,0,0
1,30,0,0,0,1,0,1,0,0,1,0,0,1
1,24,1,0,0,1,0,1,0,0,1,0,0,1
1,18,4,0,1,1,0,1,0,0,1,0,0,1
2,26,0,0,1,1,0,0,0,1,0,0,1,0
3,28,0,0,0,0,1,0,0,1,0,1,0,0
2,43,0,0,1,0,1,0,0,1,0,1,0,0
3,26,0,0,0,1,0,0,0,1,1,0,0,1
2,24,0,0,1,1,0,0,0,1,0,0,1,1
2,54,0,0,0,0,1,0,0,1,0,0,0,0
1,31,2,0,1,1,0,0,0,1,1,0,0,1
1,40,2,0,1,1,0,1,0,0,0,0,1,1
3,22,0,0,0,0,1,0,0,1,0,1,0,0
3,27,0,0,0,0,1,0,0,1,0,1,0,0
2,30,0,0,0,1,0,0,1,0,1,0,0,1
2,22,0,0,1,1,0,0,0,1,0,0,1,1
3,29.7,1,0,1,0,1,0,0,1,0,1,0,0
1,36,2,0,0,1,0,1,0,0,1,0,0,1
3,61,0,0,0,0,1,0,0,1,0,1,0,0
2,36,0,0,0,1,0,0,0,1,0,0,1,1
3,31,0,0,1,1,0,0,0,1,0,0,1,1
1,16,0,0,1,1,0,1,0,0,1,0,0,1
3,29.7,0,0,1,1,0,0,1,0,1,0,0,1
1,45.5,0,0,0,0,1,0,0,1,0,1,0,0
1,38,2,0,1,0,1,0,0,1,0,1,0,0
3,16,0,0,1,0,1,0,0,1,0,1,0,0
1,29.7,2,0,1,1,0,0,0,1,0,0,1,1
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
1,29,1,0,1,0,1,0,0,1,0,1,0,0
1,41,2,0,0,1,0,1,0,0,1,0,0,1
3,45,0,0,0,0,1,0,0,1,0,1,0,1
1,45,0,0,0,0,1,0,0,1,0,1,0,0
2,2,0,0,1,0,1,0,0,1,0,0,0,1
1,24,4,0,1,1,0,0,0,1,1,0,0,1
2,28,0,0,0,0,1,0,0,1,0,1,0,0
2,25,0,0,0,0,1,0,0,1,0,1,0,0
2,36,0,0,0,0,1,0,0,1,0,1,0,0
2,24,0,0,0,1,0,0,0,1,1,0,0,1
2,40,0,0,0,1,0,0,0,1,1,0,0,1
3,29.7,0,0,1,1,0,0,0,1,0,0,1,1
3,3,0,0,1,0,1,0,0,1,0,0,0,1
3,42,0,0,0,0,1,0,0,1,0,1,0,0
3,23,0,0,0,0,1,0,0,1,0,1,0,0
1,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,15,0,0,1,0,1,1,0,0,0,1,0,0
3,25,0,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,1,0,0,0,1,0,0
3,28,0,0,0,0,1,0,0,1,0,1,0,0
1,22,0,0,1,1,0,0,0,1,1,0,0,1
2,38,0,0,0,1,0,0,0,1,1,0,0,0
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
3,40,0,0,1,0,1,0,0,1,0,1,0,0
2,29,0,0,1,0,1,1,0,0,0,1,0,0
3,45,0,0,1,1,0,1,0,0,0,0,1,0
3,35,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,0,1,0,1,0,0,1,0,0
3,30,0,0,0,0,1,0,0,1,0,1,0,0
1,60,1,0,1,1,0,1,0,0,0,0,1,1
3,29.7,0,0,0,1,0,1,0,0,0,0,1,1
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
1,24,1,0,0,1,0,1,0,0,0,0,0,1
1,25,0,0,1,0,1,1,0,0,0,1,0,1
3,18,0,0,1,0,1,0,0,1,0,1,0,0
3,19,0,0,0,0,1,0,0,1,0,1,0,0
1,22,2,0,0,0,1,1,0,0,0,1,0,0
3,3,0,0,1,1,0,0,0,1,1,0,0,0
1,29.7,1,0,1,1,0,1,0,0,0,0,1,1
3,22,0,0,0,1,0,0,0,1,1,0,0,1
1,27,3,0,1,0,1,1,0,0,0,1,0,0
3,20,0,0,0,0,1,1,0,0,0,1,0,0
3,19,0,0,0,0,1,0,0,1,0,1,0,0
1,42,3,0,0,1,0,1,0,0,1,0,0,1
3,1,0,0,1,1,0,1,0,0,1,0,0,1
3,32,0,0,0,0,1,0,0,1,0,1,0,0
1,35,0,0,1,1,0,0,0,1,0,0,1,1
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
2,18,1,0,0,0,1,0,0,1,0,1,0,0
3,1,0,0,1,0,1,0,0,1,0,0,0,0
2,36,0,0,0,1,0,0,0,1,1,0,0,1
3,29.7,0,0,0,0,1,0,1,0,0,1,0,0
2,17,0,0,0,1,0,1,0,0,1,0,0,1
1,36,1,0,1,0,1,0,0,1,0,1,0,1
3,21,0,0,0,0,1,0,0,1,0,1,0,1
3,28,0,0,1,0,1,0,0,1,0,1,0,0
1,23,1,0,1,1,0,1,0,0,1,0,0,1
3,24,0,0,1,1,0,0,0,1,0,0,1,1
3,22,0,0,0,0,1,0,0,1,0,1,0,0
3,31,0,0,0,1,0,0,0,1,1,0,0,0
2,46,0,0,0,0,1,0,0,1,0,1,0,0
2,23,0,0,0,0,1,0,0,1,0,0,0,0
2,28,0,0,0,1,0,0,0,1,0,0,1,1
3,39,0,0,0,0,1,0,0,1,0,1,0,1
3,26,0,0,0,0,1,0,0,1,0,1,0,0
3,21,0,0,1,1,0,0,0,1,1,0,0,0
3,28,0,0,1,0,1,0,0,1,0,1,0,0
3,20,0,0,0,1,0,0,0,1,1,0,0,0
2,34,0,0,1,0,1,0,0,1,0,1,0,0
3,51,0,0,0,0,1,0,0,1,0,1,0,0
2,3,0,0,1,0,1,0,0,1,0,0,0,1
3,21,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,1,0,0,0,1,1,0,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,1,0,0,1,0,0
1,33,1,0,1,1,0,0,1,0,1,0,0,1
2,29.7,-1,0,0,0,1,0,0,1,0,1,0,0
3,44,0,0,0,0,1,0,0,1,0,1,0,1
3,29.7,0,0,0,1,0,0,0,1,0,0,1,0
2,34,0,0,1,1,0,0,0,1,0,0,1,1
2,18,0,0,1,1,0,0,0,1,1,0,0,1
2,30,0,0,0,0,1,0,0,1,0,1,0,0
3,10,0,0,1,1,0,0,0,1,1,0,0,0
3,29.7,0,0,0,0,1,1,0,0,0,1,0,0
3,21,0,0,0,0,1,0,1,0,0,1,0,0
3,29,0,0,0,0,1,0,0,1,0,1,0,0
3,28,0,0,1,1,0,0,0,1,0,0,1,0
3,18,0,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
2,28,0,0,1,1,0,0,0,1,0,0,1,1
2,19,0,0,0,1,0,0,0,1,1,0,0,1
3,29.7,0,0,0,0,1,0,1,0,0,1,0,0
3,32,0,0,0,0,1,0,0,1,0,1,0,1
1,28,0,0,0,0,1,0,0,1,0,1,0,1
3,29.7,0,0,1,1,0,0,0,1,0,0,1,1
2,42,0,0,1,1,0,0,0,1,0,0,1,1
3,17,0,0,0,0,1,0,0,1,0,1,0,0
1,50,0,0,1,0,1,0,0,1,0,1,0,0
1,14,1,0,1,1,0,0,0,1,1,0,0,1
3,21,0,0,1,1,0,0,0,1,1,0,0,0
2,24,0,0,1,1,0,0,0,1,0,0,1,1
1,64,4,0,1,0,1,0,0,1,0,1,0,0
2,31,0,0,0,0,1,0,0,1,0,1,0,0
2,45,0,0,1,1,0,0,0,1,0,0,1,1
3,20,0,0,0,0,1,0,0,1,0,1,0,0
3,25,0,0,1,0,1,0,0,1,0,1,0,0
2,28,0,0,0,1,0,0,0,1,0,0,0,1
3,29.7,0,0,0,0,1,0,0,1,0,1,0,1
1,4,1,0,1,0,1,0,0,1,0,0,0,1
2,13,0,0,1,1,0,0,0,1,1,0,0,1
1,34,0,0,0,0,1,0,0,1,0,1,0,1
3,5,0,0,1,1,0,1,0,0,1,0,0,1
1,52,0,0,0,0,1,0,0,1,0,0,0,1
2,36,0,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,0,1,0,0,1,0,1,0,0
1,30,0,0,0,0,1,1,0,0,0,1,0,0
1,49,1,0,1,0,1,1,0,0,0,1,0,1
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,29,0,0,0,0,1,1,0,0,0,1,0,1
1,65,0,0,0,0,1,0,0,1,0,1,0,0
1,29.7,0,0,1,1,0,0,0,1,0,0,1,1
2,50,0,0,0,1,0,0,0,1,1,0,0,1
3,29.7,0,0,0,0,1,0,1,0,0,1,0,0
1,48,0,0,0,0,1,0,0,1,0,1,0,1
3,34,0,0,0,0,1,0,0,1,0,1,0,0
1,47,0,0,0,0,1,0,0,1,0,1,0,0
2,48,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,38,0,0,0,0,1,0,0,1,0,1,0,0
2,29.7,-1,0,0,0,1,0,0,1,0,1,0,0
1,56,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,1,0,0,1,0,0
3,0.75,0,0,1,1,0,1,0,0,1,0,0,1
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,38,0,0,0,0,1,0,0,1,0,1,0,0
2,33,0,0,1,1,0,0,0,1,0,0,1,1
2,23,0,0,0,1,0,1,0,0,0,0,1,1
3,22,0,0,0,1,0,0,0,1,1,0,0,0
1,29.7,0,0,0,0,1,0,0,1,0,1,0,0
2,34,0,0,1,0,1,0,0,1,0,1,0,0
3,29,0,0,1,0,1,0,0,1,0,1,0,0
3,22,0,0,0,0,1,0,0,1,0,1,0,0
3,2,0,0,1,1,0,0,0,1,1,0,0,1
3,9,0,0,1,0,1,0,0,1,0,0,0,0
2,29.7,-1,0,0,0,1,0,0,1,0,1,0,0
3,50,0,0,0,0,1,0,0,1,0,1,0,0
3,63,0,0,0,1,0,0,0,1,0,0,1,1
1,25,1,0,1,0,1,1,0,0,0,1,0,1
